Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สจจ.ประจวบคีรีขันธ์,บมจ.สยามแม็คโคร(สาขาหัวหิน),032-522255 ต่อ104,hrm53@siammakro.co.th,1
สจจ.ชลบุรี,บริษัท พนัสโพลทรี่ กรุ๊ป จำกัด (สาขาชลบุรี),038-460000,123@hotmail.com,0
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด สามทองบริการ,043891111,juthanutt1890@gmail.com,1
สจจ.ภูเก็ต,นางสาวอนัฐยา เลิศรัตนชฎาพร (ร้านเตี๋ยวเล้งแซ่บ),062-7286526,xxx@gmail.com,0
สจจ.ภูเก็ต,นางสาวภัทรธิรา  ศิวะบุณย์,098-8297302,psiwaboon@gmail.com,1
สจจ.ภูเก็ต,หจก.ภูเก็ตโกรเซอรี่,0816768279,hrphuketgrocery@gmail.com,1
สจจ.สมุทรสาคร,บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน) สาขาสมุทรสาคร,034-878165-70,calcom@hotmail.com,1
สจจ.สมุทรสาคร,บริษัท เอลคิคท์ ซัน พาเลท แอนด์ แพ็คกิ้ง จำกัด (สาขาสมุทรสาคร),034-112523,eldectson2018@gmail.com,1
สจจ.สตูล,กว๋างเขิ่น รับเบอร์ (สตูล)  จำกัด,074791152,pla_0203@hotmail.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,รีโน (ประเทศไทย) จำกัด,02-2031260,recruit@aiiz.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท โออิชิ ฟู้ด เซอร์วิส จำกัด,0818757349,gyhg@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),0900903875,tatiya.n@bemplc.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท ไทยเบา เอ็กซ์เพรส จำกัด,0893620009,tb0893620009@gmail.com,0
สจจ.ปทุมธานี,อัลติเมท รีเฟล็กซ์ จำกัด,0988877309,ultimate.reflex@gmail.com,1
สจจ.อ่างทอง,ร้าน ขนมปังแปดแก้ว,0818146112,puy_0287@hotmail.com,1
สจจ.อ่างทอง,น้ำดื่มวานิช  จังหวัดอ่างทอง,035-612347/089-9049430,puy_0287@hotmail.com,1
สจจ.อ่างทอง,ห้างหุ้นส่วนจำกัด ชฎาธาร คอนสตรัคชั่น แอนด์ อิมปอร์ตเอ็กซ์ปอร์ต,0909077666,puy_0287@hotmail.com,1
สจจ.ลพบุรี,สำนักงานจัดหางานจังหวัดลพบุรี,036-422906,xxx@xxx.xxx,0
สจจ.ระยอง,ห้างหุ้นส่วนจำกัด บูรพา ออลล์,094-6508840,PTT.burapha363@gmail.com,1
สจจ.ระยอง,บริษัท ปตท.บริหารธุรกิจค้าปลีก จำกัด (ระยอง),038-808173,11@gmail.com,1
สจจ.ระยอง,บริษัท เจม เอ็นไวรันเมนทัล แมเนจเม้นท์ จำกัด,038029402,xx@gmail.com,0
สจจ.ปราจีนบุรี,บริษัท วี.อาร์.เซอร์วิส แอนด์ ซัคเซส จำกัด,037629678,sdfgdg@gmail.com,1
สจจ.ปราจีนบุรี,บริษัท ทรัพย์ทวีเซ็นเตอร์ เซอร์วิส,0899381213,subtaweeporn@gmail.com,1
สจจ.ปราจีนบุรี,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน)  สาขาศรีมหาโพธิ จ.ปราจีนบุรี,095-9476562,hrm.srimahapho@bigc.co.th,1
สจจ.ปราจีนบุรี,บริษัท  ที.เอส.บี. เหล็กกล้า  จำกัด,098-2618858,sasinan@tsbsteel.com,1
สจจ.ปราจีนบุรี,บริษัท แหลมทองฟาร์ม จำกัด สาขาปราจีนบุรี,037285400-44,sssss@gmail.com,0
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด ส.ทวีสินกาฬสินธุ์,0864509189,sotaweesin2013@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,สยาม ซานิเทค (1995) จำกัด,023992888,vegarr.hr@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ไท-โย เพนท์ (ประเทศไทย) จำกัด,027267590 ต่อ 189,hr.taiyo@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,โรงเรียนบางกอกพัฒนา,02-7852433,chsb@patana.ac.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท เท็น คอนซัลแตนส์ จำกัด,027456315-6 /087-042-2772,rawisara@tenconsutants.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท เนเจอร์ คอร์ปอเรชั่น จำกัด,02-8942631-3,tippa_2005@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท สุนทร เมทัล อินดัสทรี้ส์ จำกัด/สนญ.บางบอน,02-4151722,xx@hotmail.com,0
สจจ.ขอนแก่น,เทศบาลตำบลภูผาแดง,043001904,admin@phuphadang.go.th,1
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด ดีโฮมคอนกรีต สาขากุฉินารายณ์,0918831468,xxx@hotmail.com,0
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด ยู.บี.เอส. เพสท์คอนโทรล,045-953224,wannika_ubspct@hotmail.com,1
สจจ.สุรินทร์,บริษัท น้ำตาลสุรินทร์ จำกัด,"044-551600-8 ต่อ 137,111",surinsugar@hotmail.com,1
สจจ.อุบลราชธานี,บริษัท ตั้งใจ คอร์ปอเรชั่น จำกัด,045-304111,estaffoffice008@gmail.com,1
สจจ.อุบลราชธานี,บริษัท โฮมฮับ จำกัด,045-319511,hrt.homehub@gmail.com,1
สจจ.ปทุมธานี,บริษัท รุ่งปรินทรพาณิชย์ จำกัด,0893524555,rungparinthron@gmail.com,1
สจจ.สกลนคร,บริษัทสกลโฮมเซ็นเตอร์ จำกัด,042-731202-9,sakolhome@yahoo.co.th,1
สจจ.ปทุมธานี,บริษัท โตชิบา ไลท์ติ้ง คอมโพเน้นทส์ (ประเทศไทย) จำกัด..,02-1185281,ptt_doe@hotmail.com,1
สจจ.ปทุมธานี,บริษัท สยามปทุม กรุ๊ป จำกัด,02-9761318-9,St_pathum@hotmail.com,1
สจจ.ปทุมธานี,บริษัท ไพร์ซ ออฟ วู้ด อินดรัสทรีส์ จำกัด,02-831-8200,hrtosbp@gmail.com,1
สจจ.เลย,บริษัท น้ำตาลขอนแก่น จำกัด(มหาชน) สาขาวังสะพุง,042810931,somsaak12@hotmail.com,1
สจจ.เชียงใหม่,ห้างหุ้นส่วนจำกัด นายน์เพาเวอร์,0635202710,9power2016@gmail.com,1
สจจ.เชียงใหม่,บริษัท พีเอส.เนติธรรม จำกัด,086-9143009,xxx@xxx.xxx,0
สจจ.เชียงใหม่,ห้างหุ้นส่วนจำกัด อิสริยะผล,"053-110111-141 ,087-7263870",isrcm@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,นายสุนทร จาตุรนตกุล,081-8580455,koy_pkn@hotmail.com,1
สจจ.นครศรีธรรมราช,ปัณณ์ขวัญคอนกรีตบล็อค,0660805995,laoongtong.3112@gmail.com,1
สจจ.นครศรีธรรมราช,โรงเรียน แมท แอท ดอกเตอร์แดง,075432047,okls.nakorn@hotmail.com,1
สจจ.นครศรีธรรมราช,ครูอ้น รุ่งเรืองกิจ,"088-8695649, 081-9570156",Kankanorkm@gmail.com,1
สจจ.นครปฐม,บริษัท ยงเฮ้าส์ จำกัด (สาขานครปฐม),034985141,mindo_judo@hotmail.com,1
สจจ.หนองคาย,ห้างหุ้นส่วนจำกัดดาวศิริธิดา,042-414666,natgritta2016@gmail.com,1
สจจ.ยโสธร,ร้านวสันต์เสาปูน,045711759,yso@doe.go.th,1
สจจ.นนทบุรี,บริษัท สมาร์ท โฮมโปรดักส์ จำกัด,02-4225995,human@smarthomep.org,1
สจจ.สุพรรณบุรี,บริษัท สุพรรณอินเตอร์ พอร์ค จำกัด,035-440950,suphaninterpork@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ภิรัชโทเทิลโซลูชั่นส์ จำกัด,027261999,career@bhirajburi.co.th,1
